"test_id","lab_id","BMP_id","substrate","ISR","time_d","BMP","sd","se","rsd","n","n_blank"
141,1,1,"CEL",2,63,335.13,16.69,9.64,4.98,3,3
141,1,2,"SA",2,63,358.55,18.43,10.64,5.14,3,3
141,1,3,"SB",1.99,63,351.87,33.44,19.3,9.5,3,3
141,1,4,"SC",3.98,63,465.26,22.84,13.18,4.91,3,3
115,3,5,"CEL",2,30,380.6,3.91,2.26,1.03,3,3
115,3,6,"SA",2,30,367.8,11.33,6.54,3.08,3,3
115,3,7,"SB",2,30,386.82,19.86,11.46,5.13,3,3
115,3,8,"SC",3.99,30,484.02,10.05,5.8,2.08,3,3
138,4,9,"CEL",1.08,35.9,312.9,17.53,10.12,5.6,3,3
138,4,10,"SA",1.5,28.8,338.4,3.19,2.25,0.94,2,3
138,4,11,"SA",1.56,28.8,433.77,NA,NA,NA,1,3
138,4,12,"SB",1.51,16.8,319.5,3.93,2.27,1.23,3,3
136,6,13,"CEL",2.17,57,328.63,39.62,22.87,12.06,3,3
136,6,14,"SA",2.4,57,369.16,17.45,12.34,4.73,2,3
136,6,15,"SA",2.52,57,346.07,NA,NA,NA,1,3
136,6,16,"SB",2.27,57,358.88,23.94,13.82,6.67,3,3
136,6,17,"SC",2.12,57,486.04,NA,NA,NA,1,3
136,6,18,"SC",2.57,57,466.87,29.01,20.51,6.21,2,3
140,8,19,"CEL",3,27,362.5,10.19,5.88,2.81,3,3
140,8,20,"SA",2,27,351.49,8.62,4.98,2.45,3,3
140,8,21,"SB",2,27,368.77,10.42,6.02,2.83,3,3
140,8,22,"SC",4,27,494.5,20.37,11.76,4.12,3,3
103,9,23,"CEL",2.03,37.7,346.65,6.83,3.95,1.97,3,3
103,9,24,"SA",2.02,37.7,369.25,5.51,3.18,1.49,3,3
103,9,25,"SB",2.01,37.7,367.17,13.68,7.9,3.73,3,3
103,9,26,"SC",4,37.7,516.23,12.66,6.33,2.45,4,3
118,10,27,"CEL",1.75,26.6,376.27,17.9,10.34,4.76,3,3
118,10,28,"SA",1.8,26.6,408.31,14.14,8.16,3.46,3,3
118,10,29,"SB",1.83,26.6,418.81,19.18,11.07,4.58,3,3
118,10,30,"SC",3.59,26.6,538.31,19.51,11.27,3.62,3,3
146,11,31,"SA",2.34,34.8,345.77,1.19,0.84,0.34,2,3
146,11,32,"SB",2.32,34.8,349.29,16.28,11.51,4.66,2,3
143,12,33,"CEL",4.04,20.1,281.03,14.13,8.16,5.03,3,3
143,12,34,"SA",2.01,20.1,340.41,7.94,4.58,2.33,3,3
143,12,35,"SB",2,20.1,62.59,6.88,3.97,11,3,3
143,12,36,"SC",4,20.1,338.88,6.67,3.85,1.97,3,3
154,13,37,"CEL",3,27,372.7,16.7,9.64,4.48,3,3
154,13,38,"SA",2,27,349.78,9.27,5.35,2.65,3,3
154,13,39,"SB",2,27,366.12,13.79,7.96,3.77,3,3
154,13,40,"SC",4,27,506.04,14.98,8.65,2.96,3,3
155,14,41,"CEL",3.43,42.4,240.53,18.22,10.52,7.57,3,3
155,14,42,"SA",1.72,42.4,241.98,5.38,3.11,2.22,3,3
155,14,43,"SB",1.72,42.4,256.11,8.14,4.7,3.18,3,3
155,14,44,"SC",3.45,42.4,290.99,40.26,23.24,13.83,3,3
105,15,45,"CEL",10.4,20,311.11,13.29,7.68,4.27,3,3
105,15,46,"SA",2.11,20,355.1,12.2,7.05,3.44,3,3
105,15,47,"SB",2.11,20,354.43,2.63,1.52,0.74,3,3
105,15,48,"SC",4.23,20,365.2,5.75,3.32,1.58,3,3
153,18,49,"CEL",2.02,30.4,255.37,39.83,22.99,15.6,3,3
153,18,50,"SA",1.98,30.4,291.46,26.8,15.47,9.2,3,3
153,18,51,"SB",3.77,30.4,573.63,33.42,19.29,5.83,3,3
153,18,52,"SC",2.35,30.4,227.99,24.48,14.13,10.74,3,3
121,19,53,"CEL",2.15,19,358.23,11.85,6.84,3.31,3,3
